id,name,pullRequests
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,"{'nodes': [{'changedFiles': 2, 'additions': 100, 'deletions': 1}, {'changedFiles': 10, 'additions': 122, 'deletions': 106}, {'changedFiles': 2, 'additions': 51, 'deletions': 42}, {'changedFiles': 38, 'additions': 61466, 'deletions': 34}, {'changedFiles': 76, 'additions': 64419, 'deletions': 3594}], 'totalCount': 37193}"
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,"{'nodes': [{'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 0, 'deletions': 2}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}], 'totalCount': 9928}"
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,"{'nodes': [{'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 1, 'additions': 0, 'deletions': 1}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}], 'totalCount': 2023}"
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,"{'nodes': [{'changedFiles': 1, 'additions': 52, 'deletions': 9}, {'changedFiles': 1, 'additions': 2, 'deletions': 0}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 0, 'additions': 0, 'deletions': 0}, {'changedFiles': 1, 'additions': 15, 'deletions': 10}], 'totalCount': 2918}"
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,"{'nodes': [{'changedFiles': 1, 'additions': 661, 'deletions': 661}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 21, 'deletions': 0}], 'totalCount': 994}"
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,"{'nodes': [{'changedFiles': 1, 'additions': 22, 'deletions': 3}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}, {'changedFiles': 1, 'additions': 1, 'deletions': 0}], 'totalCount': 263}"
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,"{'nodes': [{'changedFiles': 1, 'additions': 0, 'deletions': 0}, {'changedFiles': 2, 'additions': 6, 'deletions': 6}, {'changedFiles': 1, 'additions': 0, 'deletions': 0}, {'changedFiles': 2, 'additions': 2, 'deletions': 2}, {'changedFiles': 2, 'additions': 5, 'deletions': 5}], 'totalCount': 4256}"
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,"{'nodes': [{'changedFiles': 8, 'additions': 403, 'deletions': 403}, {'changedFiles': 1, 'additions': 2, 'deletions': 2}, {'changedFiles': 1, 'additions': 2, 'deletions': 0}, {'changedFiles': 1, 'additions': 2, 'deletions': 2}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}], 'totalCount': 317}"
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,"{'nodes': [{'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}, {'changedFiles': 1, 'additions': 11, 'deletions': 11}, {'changedFiles': 1, 'additions': 13, 'deletions': 4}, {'changedFiles': 1, 'additions': 1, 'deletions': 1}], 'totalCount': 1977}"
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,"{'nodes': [{'changedFiles': 24, 'additions': 241, 'deletions': 79}, {'changedFiles': 1, 'additions': 2, 'deletions': 2}, {'changedFiles': 2, 'additions': 2, 'deletions': 2}, {'changedFiles': 1, 'additions': 100, 'deletions': 0}, {'changedFiles': 1, 'additions': 2, 'deletions': 2}], 'totalCount': 15967}"
